x	y1	y2
0.00	-4.26	5.18
0.20	-5.28	5.64
0.40	-5.68	2.58
0.60	-4.46	4.26
0.80	-3.66	2.72
1.00	-4.96	1.78
1.20	-4.32	2.08
1.40	-2.94	2.84
1.60	-0.84	0.32
1.80	0.10	0.00
2.00	-1.90	0.76
2.20	-1.80	-0.02
2.40	0.66	1.34
2.60	1.48	0.40
2.80	-1.40	0.62
3.00	2.30	1.14
3.20	3.02	-0.52
3.40	2.92	-1.16
3.60	3.26	1.88
3.80	0.80	-0.36
4.00	1.02	0.60
4.20	2.32	2.14
4.40	4.56	1.72
4.60	2.88	5.40
4.80	4.30	5.48
5.00	3.50	6.94
5.20	3.96	6.28
5.40	4.42	9.24
5.60	6.52	7.56
5.80	7.18	8.86
6.00	5.18	10.26
6.20	5.52	14.68
6.40	7.40	16.84
6.60	8.76	17.32
6.80	7.86	18.76
7.00	10.08	18.22
7.20	9.50	20.10
7.40	9.54	25.40
7.60	9.02	24.96
7.80	9.48	28.46
8.00	12.58	29.52
8.20	11.04	30.98
8.40	10.98	34.72
8.60	11.86	38.12
8.80	12.54	39.48
9.00	12.08	40.50
9.20	13.16	43.10
9.40	12.38	48.86
9.60	14.48	52.00
9.80	14.12	55.04
10.00	16.94	57.26
